Title,PropertySize,TotalPrice,PriceperMeter,RoomCount,BuildYear,FloorNumber,TotalFloors,Characteristics,Features,Description,URL,CrawlDate
فروش زمین کلنگی جام جم 15 - قدس 2- کوچه کهرازهی,Not found,245 متر,1٬400٬000٬000 تومان,Not found,Not found,Not Found,Not Found,not found,not found,"باسلام و عرض ادب خدمت همشهریان عزیز
فروش زمین کلنگی جهت ساخت وساز 
بامساحت 245 متر مربع
 واقع در خیابان جام جم 
 جام جم 15
بین قدس 2 و جام جم 15
 سند تک برگ
جهت اطلاعات بیشتر و بازدید به دفتراملاک یاسین زاده 
واقع درخیابان قدس روبروی قدس 4 مراجعه نمایید
مدیریت املاک : آقای مهندس یاسین زاده
با تشکر 
شه بخش",https://divar.ir/v/فروش-زمین-کلنگی-جام-جم-۱۵-قدس-۲-کوچه-کهرازهی/wZMeXfRQ,2025-02-15
زمین چهار دیواری حاجی آباد همت آباد,Not found,90 متر,155٬000٬000 تومان,Not found,Not found,Not Found,Not Found,not found,not found,"سلام
زمین چهار دیواری 90 متری در حاجی آباد پشت همت آباد بفروش میرسد. 
آدرس حاجی آباد بعد از مسجد محمدرسول الله دومین کوچه سمت راست",https://divar.ir/v/زمین-چهار-دیواری-حاجی-آباد-همت-آباد/wZpi-k02,2025-02-15
آپارتمان 155متری /حاشیه فلسطین,155,3٬900٬000٬000 تومان,25٬161٬000 تومان,3,1403,3,6,تعداد واحد در طبقه: ۲ | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری ندارد | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش داکت اسپلیت | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,"املاک بهار

⚜️سال ها خاطره با یک انتخاب درست⚜️

⚜️متراژ155 متر
⚜️3خواب،یک خواب مستر
 ⚜️طبقه3
⚜️خوش نقشه 
⚜️یک خواب مستر
⚜️واحد خام
⚜️آسانسور 8نفره
⚜️پارکینگ
⚜️دسترسی آسان به مراکز خرید و درمانی
——————————————————————
کارشناس تخصصی فروش خانم حاجی پور

آدرس دفتر:بین قلنبر 14 و میدان مشاهیر",https://divar.ir/v/آپارتمان-۱۵۵متری-حاشیه-فلسطین/wZr60PAu,2025-02-15
فروش آپارتمان 160 متری پیامبر اعظم,160,3٬700٬000٬000 تومان,23٬125٬000 تومان,3,1400,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری,"--------------------دپارتمان املاک پرتو----------------------

بهترین ها را با کمترین قیمت از ما بخواهید
باکمترین پرداختی زندگی راحتی را تجربه کنید
--------------------------------------------------------
✅️طبقه 3
یک خواب مستر - کف سرامیک - انباری 
سند تک برگ 
------------------------------------
✳️ادرس دفتر: بزرگمهر ،بین بزرگمهر 38 و40
مدیریت : سرکارخانم کندری
مشاور - سالار
------------------------------------------
✳️پرتوروزنه ایست به سوی خانه دارشدن
✅️سپاس از شکیبایی شما✅️",https://divar.ir/v/فروش-آپارتمان-۱۶۰-متری-پیامبر-اعظم/wZquwVY8,2025-02-15
ویلایی کلنگی میرحسینی 150متر,150,150,1٬250٬000٬000 تومان,3,1380,Not Found,Not Found,وضعیت واحد: بازسازی نشده,پارکینگ ندارد | انباری | بالکن ندارد,"مشاور املاک مینودشت 

✨ویلایی کلنگی میرحسینی 150متر

سه اتاق
هال 
آب،برق
سند شش دانگ

جهت بازدید به مشاور املاک مینودشت واقع در تقاطع میرحسینی و رجایی مراجعه فرمائید",https://divar.ir/v/ویلایی-کلنگی-میرحسینی-150متر/wZGh9Fr5,2025-02-15
واحد 130متری سند آزاد محدوده قلنبر,130,3٬200٬000٬000 تومان,24٬615٬000 تومان,2,1403,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری,"⚜️املاک آلفا⚜️
✅️لذت معاملات شیرین 

⚜️ واحد 130متری. قلنبر حاشیه خیابان بهار

⚜️دو  خواب 

⚜️طبقه پنجم 

⚜️نور گیر  

⚜️مدار پکیج _شوفاژ

⚜️بالکن


⚜️آیفون تصویری

⚜️مشاعات قوی 

⚜️سند آزاد 





⚜️برای اطلاعات بیشتر تماس بگیرید
✅️موارد مشابه موجود می‌باشد 

⚜️املاک آلفا⚜️____
⭕شعبه 1: زاهدان، زیباشهر، نصر 26
⭕ شعبه 2:مشهد،الهیه،رحمانیه 2 و 4 
⭕مدیریت : مهندس سلطانی",https://divar.ir/v/واحد-130متری-سند-آزاد-محدوده-قلنبر/wZhpicaC,2025-02-15
فروش آپارتمان 100 متری 2 خوابه همکف,100,600٬000٬000 تومان,6٬000٬000 تومان,2,1403,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری ندارد,مسکن ملی شهرک جهاد پرداختی 340ملیون 260ملیون دیگه واریزی داره,https://divar.ir/v/فروش-آپارتمان-۱۰۰-متری-۲-خوابه-همکف/wZuCwljB,2025-02-15
فروش زمین 166 متری,Not found,166 متر,250٬000٬000 تومان,Not found,Not found,Not Found,Not Found,not found,not found,سلام یه زمین همت اباد از زمینهای خسروی نزدیک مسجد زکریا است کنار خونه جدید که میسازن,https://divar.ir/v/فروش-زمین-۱۶۶-متری/wZniqWUd,2025-02-15
220 متر زمین در شهرک گاوداران,Not found,220 متر,2٬300٬000٬000 تومان,Not found,Not found,Not Found,Not Found,not found,not found,220 متر زمین باسند تک برگ، آب برق گاز بالای زمین,https://divar.ir/v/220-متر-زمین-در-شهرک-گاوداران/wZfyv56F,2025-02-15
آپارتمان کلید نخورده بهشتی,123,3٬400٬000٬000 تومان,27٬642٬000 تومان,2,1400,3,10,تعداد واحد در طبقه: ۲ | سند: تک‌برگ | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری ندارد | بالکن | جنس کف پارکت چوب | سرویس بهداشتی ایرانی و فرنگی | سرمایش اسپلیت | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,"با سلام و درود خدمت شما 
این واحد آپارتمان دارای آشپزخانه ای مجهز به بهترین و مدرن ترین کابینت و شیرآلات و فر تو کار و گاز رومیزی و کف سالن  پارکت و اتاقها پالازموکت درجه یک و کمد دیواری بسیار جادار و طبقه بندی شده و نور جنوبی و بالکن قابل استفاده می باشد راه پله ها عریض و در هر طبقه دو واحد با ساکنین خوب و پارکینگ بدون مزاحمت می باشد ،آپارتمان کلید نخورده می باشد و تک برگ سند می باشد،دسترسی سریع و آسان به بازار و مراکز خرید شریعتی و بهشتی و مصطفی خمینی داریددر صورت
 پسندیدن با خریدار واقعی پای معامله کنار آمده و تخفیف جزیی دارد.",https://divar.ir/v/آپارتمان-کلید-نخورده-بهشتی/wZl6hu1K,2025-02-15
فروش آپارتمان/115متری/دانشگاه,115,3٬335٬000٬000 تومان,29٬000٬000 تومان,2,1403,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری ندارد,"⚜️⚜️دپـارتـمـان امـلاک vip آرکــا ⚜️⚜️
____
 ⭕ خرید و فروش مطمئن و سرمایه گذاری امن⭕
 (  با مشاورین ملکی آرکا)

_ ⚜️ مشخصات واحد ⚜️_
⚜️واحد واقع در دانشگاه 9
⚜️دسترسی فوق العاده به امکانات رفاهی 
⚜️واحد 115 متری 
⚜️دو خوابه 
⚜️خام /کلید نخورده 
⚜️کم تراکم کلا 12 واحد 
⚜️پشت به نما با نورگیر عالیی
⚜️خوش نقشه
⚜️پارکینگ اختصاصی 
⚜️آسانسور
⚜️قیمت زیر فی منطقه 
⚜️بازدید آزاد


 با مشاورین حقوقی و ملکی آرکا مطمئن خرید کنید

          ⚜️ مشاور شما صادق حیدری ⚜️
      ⚜️ بـا مـدیریت مـهندس تـرشـابـی ⚜️
⭕ادرس دپارتمان :پیامبراعظم 8",https://divar.ir/v/فروش-آپارتمان-115متری-دانشگاه/wZoyYuaV,2025-02-15
ویلایی 331 متر فلسطین غدیر 2توحید,331,331,7٬000٬000٬000 تومان,3,1378,Not Found,Not Found,وضعیت واحد: بازسازی نشده,پارکینگ | انباری | بالکن,"دپارتمان املاک محیط 
(ملکی نو ، محیطی نو ، با املاک محیط )  
✨✨✨✨✨✨✨✨✨✨✨✨
    ✨✨  ویلایی فلسطین غدیر 2توحید 11

✳️ سال ساخت 1378
✳️331متراژ زمین 
❇️متراژ بنا 205متر
✳️سه خواب 
❇️بازسازی شده
❇️دارای مجوز ساخت طبقه دوم
✳️دارای اسکلت فلز
✳️جای پارک سه تا ماشین
❇️ سند تک برگ 
❇️همه خواب ها داری کمد دیواری
❇️ملک دو کله هم از خیابان غدیر راه  دارد و هم توحید 
❇️داری کولر آبی 
❇️گاز کشی وشوفاژ         
✳️تمامی اتاق ها نورگیر
✳️خوش نقشه                                                                                                                                                                                                                                                                                       
✳️لوکیشن عالی.
 تخفیف پای معامله 
✨✨ مشاور شما  خانم بامری ✨ ✨
موارد مشابه در محدوده خیام ، کریمپور ،آرش ،رودکی  مزاری ،پوریا ، خرمشهر وسایر نقاط شهر نیز موجود می‌باشد 
  
آدرس املاک : جانبازان نبش قائم 6
. ✨️✨️✨️✨️.✨✨✨✨✨
با محیط ، محیط زندگیت رو بساز
با مدیریت: سرکار خانم رضایی",https://divar.ir/v/ویلایی-۳۳۱-متر-فلسطین-غدیر-2توحید/wZvC3A4-,2025-02-15
فروش آپارتمانن 90متری 2 خوابه دانش 17,130,1٬850٬000٬000 تومان,14٬230٬000 تومان,3,1394,3,4,تعداد واحد در طبقه: ۳ | سند: تک‌برگ | جهت ساختمان: شمالی | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی | سرمایش اسپلیت | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,"سه خوابه فول امکانات دارای کاغذ دیواری
املاک نیکان دانش 
نبش دانش 7",https://divar.ir/v/فروش-آپارتمانن-۹۰متری-۲-خوابه-دانش-۱۷/wZo66rI7,2025-02-15
زمین 200 متری معلم8,Not found,200 متر,3٬400٬000٬000 تومان,Not found,Not found,Not Found,Not Found,not found,not found,"«««دپارتمان املاک آبده»»»
مشاور شما: شهریار کیخا 
————————————————————-
زمین 200 متری 
در قلب معلم
پشت باغ خانواده
سند تک برگ 
فروش‌‌فوری

————————————————————-
آدرس املاک : ابتدای مزاری دور فلکه شهید فهمیده املاک آبده
(انتخاب بر اساس توان شما و هنر ما)",https://divar.ir/v/زمین-۲۰۰-متری-معلم۸/wZ7FpVik,2025-02-15
زمین تعاونی سپاه شمالی جنوبی غدیرشهر (املاک هاشمی),Not found,153 متر,111٬111٬111 تومان,Not found,Not found,Not Found,Not Found,not found,not found,"✅  امورملکی خودتان را به تیم باتجربه و مجرب املاک هاشمی بسپارید ✅️
آدرس ⬅️غدیر شهر سپاه 12مشاور املاک هاشمی ➡️
⏰️ساعت حضوری: 16الی20⏰️
✅️ زمین 153متری✅️
✅️به صورت شمالی یا جنوبی دارم✅️
✅️حاشیه خیابان 10متری یا خیابان اصلی ✅️
✅️آب برق گاز ✅️
⏬️⏬️⏬️⏬️⏬️⏬️⏬️⏬️⏬️
مشاور املاک هاشمی 
آدرس❗️غدیر شهر سپاه 12مشاور املاک هاشمی 
تماس از ساعت 9صبح الی 11شب
‍♂️مراجعه حضوری: 16الی 20‍♂️
مشاور املاک هاشمی سپاه12",https://divar.ir/v/زمین-تعاونی-سپاه-شمالی-جنوبی-غدیرشهر-املاک-هاشمی/wZmJee90,2025-02-15
منزل ویلایی دوطبقه,183,130,4٬400٬000٬000 تومان,2,1400,Not Found,Not Found,سند: تک‌برگ | جهت ساختمان: شمالی | وضعیت واحد: بازسازی نشده,پارکینگ | انباری ندارد | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی | سرمایش کولر آبی | گرمایش بخاری | تأمین‌کننده آب گرم آبگرم‌کن,ملک دوطبقه ویلایی خیابان شهید رجایی  میباشد  داخل عکس ها  مشخصه ، نوسازه ، با امکاناتی مثل پرده،موکت فرش، کولر آبی هردو واحد و کانال کشی  ، پمپ آب هردو واحد ، تانکر آب ،، کنتور آب و برق و گاز، و آیفون تصویری جدا برا هر طبقه،  سند هردو طبقه جدا و  تکبرگ  ، دارای پایان کار ساختمانی ،درضمن سندهای خونه قابلیت وام را دارد،از هر لحاظ کامل،مشتری واقعی باشید تخفیف داره و راه میام سر قیمت ،جهت توضیحات لطفا تماس بگیرید،معاوضه با ملک دوطبقه ،,https://divar.ir/v/منزل-ویلایی-دوطبقه/wZqS26Ah,2025-02-15
فروش آپارتمان 105 متری 2 خوابه/انتهای شورا,105,1٬850٬000٬000 تومان,17٬619٬000 تومان,2,1403,5,5,تعداد واحد در طبقه: ۴ | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری ندارد | بالکن,"⚜️⚜️دپـارتـمـان امـلاک vip آرکــا ⚜️⚜️
____________
 ⭕ خرید و فروش مطمئن و سرمایه گذاری امن⭕
 (  با مشاورین ملکی آرکا)

___ ⚜️ مشخصات واحد ⚜️___
⚜️واحد واقع در انتهای شورا
⚜️تاپ لوکیشن منطقه
⚜️دسترسی فوق العاده
⚜️واحد 105 متر 
⚜️دوخواب
⚜️سر دونبش
⚜️کلا 20 واحد
⚜️رو به نما با نورگیر عالیی
⚜️ واحد دارای کناف،چراغ های لاینری و هالوژن می باشد.
⚜️خوش نقشه
⚜️پمپ ومنبع
⚜️درب ضد سرقت
⚜️کانال کشی کولر 
⚜️مدار پکیج
⚜️پارکینگ بزرگ و بدون مزاحم
⚜️آسانسور 
⚜️فروش فوری
⚜️بازدید آزاد


____✳️ توضیحات تکمیلی ✳️_____

✳️ ساختمانی بسیار آرام 


 با مشاورین حقوقی و ملکی آرکا مطمئن خرید کنید

          ⚜️ مشاور شما خانم ساسولی  ⚜️
      ⚜️ بـا مـدیریت مـهندس تـرشـابـی ⚜️
⭕ادرس دپارتمان :پیامبراعظم 8",https://divar.ir/v/فروش-آپارتمان-۱۰۵-متری-۲-خوابه-انتهای-شورا/wZnWxx2s,2025-02-15
فروش زمین 153 متری,Not found,153 متر,950٬000٬000 تومان,Not found,Not found,Not Found,Not Found,not found,not found,"غدیر شهر پشت براسان
زمین بنیاد شهید 
دارای پروانه کار 
مجوز ساخت 3 طبقه 
کوچه 12 متری 
موقعیت خونه شمالی 
برای کنجکاوی سوال نپرسید  اگر خریدار هستید در خدمتم",https://divar.ir/v/فروش-زمین-۱۵۳-متری/wZpCRkga,2025-02-15
آپارتمان 144متری راسته خیابان پیامبر اعظم,145,3٬420٬000٬000 تومان,23٬586٬000 تومان,3,1403,Not Found,Not Found,سند: سایر | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری ندارد | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش کولر آبی | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,"به نام خالق زیبایی باسلام و احترام  یک واحد آپارتمان 144متری و129متری طبقه پنجم دارای حیاط با بهترین موقعیت مکانی راسته خیابان پیامبر اعظم دونبش بصورت خام به فروش می‌رسد      
✅آدرس: راسته خیابان پیامبر اعظم دونبش تک واحدی 
غرق در نور باچشم اندازی منحصر به فرد
✅ تعداد اتاق ها ..
✅ امکانات: ،بالکن،نما سنگ عباس آباد ،پنجره های دوجداره ،درب ضدسرقت ،کف سرامیک ،بالکن ،پارکینک رمپ،مدار پکیج و رادیاتور، کم تراکم،شخصی ساز
مشاور: میرشکار
املاک برج آبی بین حسین بر 4و6 
با مدیریت آقای میر پارسا اعتماد شما اعتبار ماست ضمنا موارد پیش فروش آپارتمان در راسته خیابان حسین بر وکفعمی و دانشگاه و تربیت و زیباشهر و امیرالمومنین هم موجود می‌باشد",https://divar.ir/v/آپارتمان-144متری-راسته-خیابان-پیامبر-اعظم/wZgmaZoy,2025-02-15
160متری/هوشمند/برای سخت پسندان,160,5٬200٬000٬000 تومان,32٬500٬000 تومان,3,1403,4,6,تعداد واحد در طبقه: ۲ | سند: سایر | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش کولر آبی | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,"✨️هو الرزاق✨️

⚜️تحقق رویای ملکی تخصص ماست⚜️
پیری هستم،همراه شما برای بهترین انتخاب
_____________________________________________
           ✅️محله دنج،آرام واعیان نشین قلنبریک

✳️مشخصات کلی:
نما ومشاعاتی چشم نواز با مدیریتی عالی
6طبقه مسکونی 11واحد
ورودی از لابی شیک و مجلل

✳️پلان و معماری:
160متر سه خواب/ یک خواب مستر
خوابهای15-12متری کمد خور با نورگیری مستقیم
سالن یک دست مناسب برای هر نوع چیدمان پرده خور
آشپزخانه با کابینت فراوان(mdfدرجه یک)
دارای سیستم برق هوشمند

✔️سند در دست اقدام در مرحله صدور
✔️خرید از مالکی کاملا فروشنده و منعطف


✅️کافیست مشخصات ملکی را که می‌خواهید به شماره بنده پیامک کنید تا فایلهای موجود را خدمتتان به اشتراک بگذاریم.
___________________________________________
         ⚜️ونوس،برترین دپارتمان املاک منطقه⚜️
          با مدیریت مهندس شهرکی ویزدان طلب
                    حدفاصل معلم یک و سه",https://divar.ir/v/۱۶۰متری-هوشمند-برای-سخت-پسندان/wZpma6K7,2025-02-15
فروش آپارتمان 115 متری 2 خوابه,115,2٬400٬000٬000 تومان,20٬869٬000 تومان,2,1401,4,5,تعداد واحد در طبقه: ۴ | سند: تک‌برگ | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,"درود 

✅اپارتمان 115متری دوخواب( جعفری پناه)

✅400میلیون ماهیانه 4 اجاره هست.

✅پارکینگ همکف

✅سندتک برگ

✅روبه نما

✅بااحترام فقط تماس پاسخگو هستم",https://divar.ir/v/فروش-آپارتمان-۱۱۵-متری-۲-خوابه/wZvOW5wZ,2025-02-15
147 متری 3 خواب زیباشهر پیامبراعظم تکبرگ سند,147,2٬940٬000٬000 تومان,20٬000٬000 تومان,3,1403,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری ندارد,"هــوالــرزاق

⭕مسکن زاهدان⭕    
-----------------
طبقه 3روبه نما
147متری
-------------------
3خواب 1 خواب مستر
مجتمع 18واحدی 
هال وپذیرایی واتاق خواب کاملا نورگیر 
--------------------
 پارکینگ اختصاصی 
 امکانات :
کابینت هایگلاس،کمد دیواری فول،پکیج رادیاتور،کولر آبی،پارکینگ اختصاصی ،آسانسور، درب ضد سرقت ، آیفون تصویری ، سرامیک کف ، پنجره پی وی سی ، درب اتاق خواب ملامینه ، روشنایی کامل ، گازکشی توکار ، کانال کشی کولر ، اشتراک برق ، نما سنگ ، مشاعات سرامیک
-------------------
 آدرس: زیباشهر پیامبراعظم

سازنده معتبر
------------------------- 

❇️ آدرس مجموعه :زیباشهر - تقاطع ویـلا و پیـروزی ❇️",https://divar.ir/v/۱۴۷-متری-۳-خواب-زیباشهر-پیامبراعظم-تکبرگ-سند/wZwaG-1p,2025-02-15
زمین درامیراباد جیکولی,Not found,243 متر,145٬000٬000 تومان,Not found,Not found,Not Found,Not Found,not found,not found,سلام .زمین درامیراباد جیکولی است .معاوضه هم دارم ..با ماشین هم قیمتش..از نظر دولتی ملتی خداروشکر مشکلی نداره,https://divar.ir/v/زمین-درامیراباد-جیکولی/wZr-Vh0p,2025-02-15
فروش ویلایی 3 طبقه پوریا 7,300,180,5٬600٬000٬000 تومان,+4,1387,Not Found,Not Found,سند: تک‌برگ | جهت ساختمان: شمالی | وضعیت واحد: بازسازی نشده,پارکینگ | انباری | بالکن | سرویس بهداشتی ایرانی | سرمایش اسپلیت | گرمایش اسپلیت,".........................««دپارتمان املاک آبده»»..........................
با سلام و عرض ادب 
فروش ویلایی 3 طبقه پوریا 7 با مشخصات زیر :
-همکف تقریبا 130 متری 2 خواب
-طبقه اول تقریبا 130 متری 2 خواب
-طبقه دوم تقریبا 60 متری 1 خواب همراه با حیاط بزرگ
-بازسازی شده
-گازکشی
-مجهز به دوربین مدار بسته
........................................................……
مشاور شما: کمیل اشرفی
ساعات پاسخگویی : 9الی 13 - 16 الی 21

آدرس برای مراجعه حضوری : ابتدای مزاری دور فلکه شهید فهمیده املاک آبده
برای بازدید و اطلاعات بیشتر در مورد واحد فوق با ما تماس بگیرید.
(انتخاب بر اساس توان شما و هنر ما)",https://divar.ir/v/فروش-ویلایی-۳-طبقه-پوریا-۷/wZm2RSov,2025-02-15
فروش زمین سهروردی 28,Not found,230 متر,2٬850٬000٬000 تومان,Not found,Not found,Not Found,Not Found,not found,not found,"باسلام فروش زمین شمالی 230متری 
سومین قطعه از 16متری نزدیک فضای سبز بلوار جنت همه زمین های اطراف ساخته شده",https://divar.ir/v/فروش-زمین-سهروردی-۲۸/wZnmpQnB,2025-02-15
زمین مرزبانی شمالی 200متر,Not found,Not found,Not found,Not found,Not found,Not Found,Not Found,not found,not found,زمین مرزبانی بلوک6شمالی بهترین موقعیت قیمت منصفانه,https://divar.ir/v/زمین-مرزبانی-شمالی-200متر/wZUt1ctm,2025-02-15
فروش زمین 144 متری,Not Found,Not Found,Not Found,Not found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found
دادگستری,Not found,200 متر,5٬555٬555٬555 تومان,Not found,Not found,Not Found,Not Found,not found,not found,"فروش یک قواره از زمین های واگذاری دادگستری. 
مشتری ام",https://divar.ir/v/دادگستری/wZvuoCV5,2025-02-15
خانه‌ویلای ‌روبه‌رومالک‌اشتر29,160,243,2٬900٬000٬000 تومان,3,1403,Not Found,Not Found,وضعیت واحد: بازسازی نشده,پارکینگ | انباری | بالکن ندارد,"فروش‌خانه‌ویلای ‌مالک‌اشتر29‌‌
قیمت‌‌یک‌اپارتمان‌100متری‌‌گذاشتم
دوواحد‌ویلای‌هم‌کف‌کنار‌هم‌‌کاملا‌جدا
تازه‌ساز‌‌‌403‌کلید‌تحویل‌
سرخیابان‌اصلی‌‌‌‌مستجر‌نشسته‌هر‌واحد
200ملیون‌رهن‌
‌اب+برق+گاز‌‌‌‌
حیاط‌‌‌‌‌‌یک‌ماشین‌پارک‌میشود‌‌‌‌هر‌واحد
سند‌دارد‌‌400ملیون‌یک‌سال‌دیگه‌به‌مستجر‌بدین
فعالا‌2500‌به‌من‌میدین‌‌‌گرفتارم‌چک‌دارم‌‌وگر‌نه‌‌
دوتا‌ویلای‌‌‌به‌این‌قیمت‌نمیدادم‌",https://divar.ir/v/خانه-ویلای-روبه-رومالک-اشتر۲۹/wZdOt9cq,2025-02-15
فروش زمین 240 متری,Not found,240 متر,2٬000٬000٬000 تومان,Not found,Not found,Not Found,Not Found,not found,not found,"زمین 240 متر شمالی خیابان میرمرادزهی ورزش 26 قطعه چهارم نزدیک به خیابان اصلی
سند تک‌برگ",https://divar.ir/v/فروش-زمین-۲۴۰-متری/wZoyWRNJ,2025-02-15
ویلایی آزادگان,300,300,5٬850٬000٬000 تومان,3,1380,Not Found,Not Found,وضعیت واحد: بازسازی نشده,پارکینگ | انباری | بالکن,"_(دپارتمان املاک پرتو)________
با سلام
بهترینهارا با کمترین قیمت از ما بخواهید
و زندگی راحتی را تجربه کنید.
✅️ 220 متر بنا
✅️ سه خواب 
✅ کاغذ دیواری 
✅️حیاط خلوت 
✅برق سه فاز 
✅️سند تک برگ 
____________________________
آدرس: بین بزرگمهر 38و 40
         مدیریت:سرکار خانم کندری
کریمی هستم همراه همیشگی شما در بحث فروش

____________________________
✨️✨️✨️پرتو روزنه ایست به سوی خانه دار شدن شما✨️✨️✨️",https://divar.ir/v/ویلایی-آزادگان/wZnylX7N,2025-02-15
فروش آپارتمان 110 متری دانشگاه,110,2٬965٬000٬000 تومان,26٬954٬000 تومان,2,1398,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری ندارد,"——————دپارتمان باور——————
——————————————————
با سلام خدمت همشهریان گرامی
اپارتمان دو خواب
رو به پارک علم و فناوری 
مجتمع نزدیک تقاطع دانشگاه و دانشجو
« سند تک برگ »
کمد دیواری 
تراس
برای هماهنگی بازدید و موارد بیشتر تماس بگیرید 
علیرضا جهانتیغ 
دپارتمان باور",https://divar.ir/v/فروش-آپارتمان-۱۱۰-متری-دانشگاه/wZk6m9VT,2025-02-15
آپارتمان سه خواب راسته ویلا,187,3٬850٬000٬000 تومان,20٬588٬000 تومان,3,1402,2,3,تعداد واحد در طبقه: ۱ | سند: تک‌برگ | جهت ساختمان: شمالی | وضعیت واحد: بازسازی شده,آسانسور | پارکینگ | انباری ندارد | بالکن | جنس کف پارکت چوب | سرویس بهداشتی ایرانی و فرنگی | سرمایش کولر آبی | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,"باسلام
آپارتمان سه خواب متراژ 187.5متر سند تک برگ طبقه دوم امکانات کامل.کل ساختمان چهار واحد در سه طبقه .آسانسور دارد .پارکینگ در سند دارد.راستا خیابان ویلا قلب زیباشهر محیطی بسیار زنده.دسترسی بسیار آسان برای خرید.یاحق",https://divar.ir/v/آپارتمان-سه-خواب-راسته-ویلا/wZemnYJt,2025-02-15
پروژه ایی متفاوت در قلب منطقه یک,175,5٬780٬000٬000 تومان,33٬028٬000 تومان,3,1403,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری,"✨️هو الرزاق✨️

⚜️تحقق رویای ملکی تخصص ماست⚜️
پیری هستم،همراه شما برای بهترین انتخاب
____________________________________________

✳️اگر در جست و جوی کیفیت،آسایش و امنیت هستید و در عین حال به آینده می اندیشید(قیمت و شرایط پرداخت) این پروژه پیشنهاد بنده به شماست:

▪️متراژ واحدها170متر و200متر
▪️چشم انداز ابدی و بدون مشابه
▪️مشاعات و لابی مجلل
▪️دو لاین آسانسور(باربر و نفر بر)

✳️با پلانی کاملا مهندسی:
آشپزخانه بانو پسند مجهز به مطبخ
اتاق خوابهای وسیع مجهز به کلوزت و مستر
سالن وسیع مناسب برای هر نوع چیدمان
دارای دو تراس کاملا کاربردی و قابل چیدمان

⭕مالک کاملا منطعف
⭕امکان تهاتور با خودروی خارجی

      ✨دو صد گفته چو نیم دیدار نباشد✨

برای شنیدن اطلاعات کامل در ارتباط با این پروژه با بنده تماس بگیرید و یا به آدرس دفتر مراجعه فرمایید.
               
___________________________________________
         ⚜️ونوس،برترین دپارتمان املاک منطقه⚜️
          با مدیریت مهندس شهرکی ویزدان طلب
                    حدفاصل معلم یک و سه",https://divar.ir/v/پروژه-ایی-متفاوت-در-قلب-منطقه-یک/wZbay6KG,2025-02-15
فروش خانه ویلایی 273 متری بزرگمهر 26,273,273,6٬730٬000٬000 تومان,3,1380,Not Found,Not Found,سند: تک‌برگ | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی نشده,پارکینگ | انباری | بالکن,"✅خوش نقشه 
✅حیاط دلباز 
✅مناسب برای سکونت شخصی 
✅مناسب برای سرمایه گذاری 
✅مناسب برای ساخت و ساز 
✅محیط دنج ارام 
✅خوش قواره
✅گازکشی
✅سند تک برگ",https://divar.ir/v/فروش-خانه-ویلایی-۲۷۳-متری-بزرگمهر-۲۶/wZreZmyo,2025-02-15
