Title,property size m2,TotalPrice,PriceperMeter,RoomCount,BuildYear,FloorNumber,TotalFloors,Characteristics,Features,Description,URL,CrawlDate
فروش اپارتمان دوخواب100 متری شهرک گلستان,100,3٬430٬000٬000 تومان,34٬300٬000 تومان,2,1390,Not Found,Not Found,سند: تک‌برگ | وضعیت واحد: بازسازی شده,آسانسور | پارکینگ | انباری ندارد | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش کولر آبی | گرمایش شوفاژ | تأمین‌کننده آب گرم آبگرم‌کن,"با سلام
فروش آپارتمان دو خواب 
واقع در گلستان  
موقعیت مکانی عالی
واحد تخلیه 
بازسازی شده
خوش نقشه 
مالک مستقیم 
قابلیت رهن تا 500
قابلیت اخذ وام تا 900 
جهت کسب اطلاعات بیشتر تماس بگیرید",https://divar.ir/v/فروش-اپارتمان-دوخواب۱۰۰-متری-شهرک-گلستان/wZnmgkmF,2025-02-15
آپارتمان250متر چهار خوابه.فدک،فضل اباد،شهرک ولیعصر,250,10٬800٬000٬000 تومان,43٬200٬000 تومان,4,1402,5,5,تعداد واحد در طبقه: ۱ | سند: سایر | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش اسپلیت | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,"با سلام


✳لوکیشن:شهرک ولیعصر
✳بسیار خوش نقشه
✳نورگیر عالی
✳جنوبی
✳کابینت هایگلاس
✳کناف و نور پردازی
✳دو تراس
✳هر چهار خواب‌کمد دار
✳نما مدرن
✳مستر دار


_____________________________________________
سرمایه گذاریه مطمعن خرید و فروش همراه با مشاوره تخصصی
_____________________________________________


ادرس‌دفتر:فدک،مابین کوچه9و11   ***اقای املاک***


⚡مسئول:صالح اسدی⚡",https://divar.ir/v/آپارتمان۲۵۰متر-چهار-خوابه-فدک-فضل-اباد-شهرک-ولیعصر/wZUy4D5x,2025-02-15
آپارتمان3خواب سالن 80م مستردار/جنوبی/تک واحد/تجهیز,187 متر مربع,15٬950٬000٬000 تومان,85٬294٬000 تومان,3,1403,2,4,تعداد واحد در طبقه: ۱ | سند: تک‌برگ | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش اسپلیت | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,"با سلام و احترام فراوان 

    فرصت محدود 
               همین الان زنگ بزن ببین و فورا بخر 


☑️آپارتمان نوساز کاید نخورده 3 خواب سالن بزرگ با ابعاد مهندسی و استاندارد با قابلیت چیدمان حداقل 2 دست مبلمان و میز ناهار خوری 12 نفره 
☑️پلان معماری تفکیکی فضای عمومی و خصوصی 
☑️تک واحدی 
☑️ یک خواب مستر شیشه ای 
☑️نورگیری مستقیم سالن و هر 3 خواب 
☑️پنجره قدی به ارتفاع 3متر و عرض سالن 
☑️شمالی جنوبی 
☑️تکمیل به صورت لوکس 
☑️نما مدرن با نورپردازی حرفه ای 
☑️مشاعات سنگ با نورپردازی مهندسی
☑️لوکیشن اعیان نشین منطقه 
☑️دسترسی عالی  تا خیابان اصلی 3 دقیقه پیاده 
☑️سند تک برگ ملکی 
☑️تراس چیدمانی 
☑️تک پارکینگ سندی ، ولی قابلیت پارکینگ سوئیچی 

                     بازدید ازاد 24 ساعته 
       
                    کلید در اختیار 

⚜️یگانه 
ارشد معماری و مشاور شما در خرید و فروش تخصصی",https://divar.ir/v/آپارتمان۳خواب-سالن-۸۰م-مستردار-جنوبی-تک-واحد-تجهیز/wZyl6iAL,2025-02-15
142 متری 3خوابه زیر قیمت/شاه قلی بیگی*فایل طلایی*,142,6٬450٬000٬000 تومان,45٬422٬000 تومان,3,1403,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری,"درود 
3 خواب 
142 متری 
بسیار خوش نقشه /سالن 45 متری /آشپزخانه 25 متری 
اتاق ها 12 متری با کمد دیواری / 1 خواب مستر 
مشاعات فوق‌العاده و خوش سلیقه کار شده 
سازنده به نام و معتبر / هر طبقه 3 واحد خلوت 

واحد زیر قیمت منطقه و واحد های همین ساختمان می‌باشد به دلیل پول لازم بودن مالک 


تهاتر با واحد کوچکتر انجام میشود 


ابوالفضل جمشیدی/املاک تخصصی سجادیان/پاییز",https://divar.ir/v/۱۴۲-متری-۳خوابه-زیر-قیمت-شاه-قلی-بیگی-فایل-طلایی/wZsWyEuf,2025-02-15
فروش اپارتمان 170متر ویو ابدی شهرک بهشتی,170,8٬900٬000٬000 تومان,52٬352٬000 تومان,3,1403,5,5,تعداد واحد در طبقه: ۳ | سند: تک‌برگ | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش اسپلیت | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,".     _____بزرگترین بانک اطلاعاتی املاک_____
. ‌          ___هلدینگ املاک جواهریان___

✔️فروش یک واحد اپارتمان 3 خوابه 

✔️متراژ 170 متر

✔️واقع در بهترین موقعیت شهرک بهشتی

✔️ویو ابدی 

✔️بدون مشرف 

✔️سالن بزرگ 

✔️اتاق خواب ها و سالن دارای نور مستقیم 

✔️یک خواب مستر

✔️نما مدرن

✔️پنجره سرتاسری 

✔️طبقه 5 بهترین طبقه

✔️استفاده از بهترین متریال روز 

✔️واحد صفر به صورت خام اماده تحویل 

✔️زیر قیمت منطقه 

_____________________________________________

✔️ادرس : شهرک بهشتی میدان ضامن همتی خیابان ثنا هلدینگ املاک جواهریان",https://divar.ir/v/فروش-اپارتمان-170متر-ویو-ابدی-شهرک-بهشتی/wZ8czpcD,2025-02-15
فروش زمین 100 متری در گویم,Not found,100 متر,640٬000٬000 تومان,Not found,Not found,Not Found,Not Found,not found,not found,"سلام 
فروش 100 متر زمین مشاع در گویم پشت زمین های شورا
پلاک سه رقمی 297
درب ساختمان_ زمین های شیمیایی فارس
دارای نقشه utm و سند سیم سرب
 مناسب جهت سرمایه گذاری و در اولویت تفکیک",https://divar.ir/v/فروش-زمین-۱۰۰-متری-در-گویم/wZvCCJAe,2025-02-15
فروش خانه ویلایی 211 متری 3 خوابه در شهرک برق,211,211,13٬000٬000٬000 تومان,3,1398,Not Found,Not Found,سند: تک‌برگ | وضعیت واحد: بازسازی نشده,پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی فرنگی | سرمایش کولر آبی | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,با سلام خانه ویلایی درب از ساختمان دارای آب ،برق ،گاز ،نما دو سمت ،پکیج و شوفاژ و فرنگی و ایرانی ،نورپردازی و کاغذ دیواری و دارای سند تک برگ و پایان کار میباشد.,https://divar.ir/v/فروش-خانه-ویلایی-۲۱۱-متری-۳-خوابه-در-شهرک-برق/wZvOBDo-,2025-02-15
سه خواب  در حد صفر پزشکان 150 متر,152,9٬700٬000٬000 تومان,63٬815٬000 تومان,3,1387,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری,"با سلام

واحد بسیار عالی سالن بزرگ
نور فراوان  با کیفیت
بازسازی شده اتاق خواب بزرگ
2 خواب مستر تراس قابل چیدما1ن 

کد:717
ماندانارزمپوش 
املاک روما",https://divar.ir/v/سه-خواب-در-حد-صفر-پزشکان-۱۵۰-متر/wZqtakX3,2025-02-15
تاپ لوکیشن خلیلی/خوش قیمت/دنج و آروم,140,9٬800٬000٬000 تومان,70٬000٬000 تومان,2,1400,4,5,تعداد واحد در طبقه: ۲ | سند: تک‌برگ | جهت ساختمان: شمالی | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش کولر آبی | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,"الهی روزیتون هزار برابر 

میدانیم که حاصل دسترنج خود را برای خرید آورده اید 
پس خود را مسوول می دانیم 
---------------------------------------------           
خیابان خلیلی از محله های خاص و اعیان نشین شهر راز محسوب می شود به جرات میتوان گفت این واحد یکی از آپارتمانهای خوش قیمت و خوش نقشه این محله پر طرفدار محسوب میشود 
--------------------------------------               
☑️اگر خواهان آپارتمانی خاص هستید 
☑️اگر لوکیشنی امن و آروم دوست دارید 
☑️اگر سالن دلباز قابل چیدمان و غرق درنور می خواهید 
☑️اگر آشپزخانه ای خاص ،شیک و جذاب دوست دارید 
☑️اگر خواب شیک و متراژ بالا جهت والدین میپسندید
☑️اگر خوش قیمت و خوش نقشه میخواهید
--------************-----------             
اگر مدت زیادی هست که بدنبال ملکی ارزشمند با مالکی منعطف و با انصاف می گردید 
پس همین حالا تلفن بردارید و با من تماس بگیرید 
تا خانه ای پر از آرامش و آسایش نشان شما دهم

آدرس دفتر ما 
سه راه عفیف آباد طبقه فوقانی فرش حجازی",https://divar.ir/v/تاپ-لوکیشن-خلیلی-خوش-قیمت-دنج-و-آروم/wZca4rsk,2025-02-15
فروش آپارتمان سه خواب بلوک رفاه شبان,113,3٬800٬000٬000 تومان,33٬628٬000 تومان,3,قبل از 1370,1,4,تعداد واحد در طبقه: ۶ | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی نشده,آسانسور ندارد | پارکینگ ندارد | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی فرنگی | سرمایش کولر آبی | گرمایش بخاری,"درود فراوان
آپارتمان دلالی؟!!
فروش سه خواب فرانسوی ساز بازسازی شده طبقه اول
محیط امن ودسترسی کامل با امکانات رفاهی 
انواع واحدها با سلیقه و بودجه شما موجود است جهت اطلاع تماس
در صورت عدم پاسخگویی پیام بزارید در اسرع وقت با شما تماس گرفته میشود

املاک حقیقی چهارراه هوابرد بطرف زرهی روبروی کوچه20",https://divar.ir/v/فروش-آپارتمان-سه-خواب-بلوک-رفاه-شبان/wZwyUQch,2025-02-15
3طبقه مستقل کاملا مجزا 450متری روبروی پارک خلدبرین,450,250,23٬500٬000٬000 تومان,+4,1380,Not Found,Not Found,سند: تک‌برگ | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی شده,پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش کولر آبی | گرمایش بخاری | تأمین‌کننده آب گرم آبگرم‌کن,"******بنام الله ******
منزلی به متراژ250مترزمین 
سه طبقه کاملا مجزا 
دارای 3سند تک برگ جدا 
450متر زیربنا 
طبقه همکف155متر 3خوابه 
طبقه اول145متر 2خوابه 
طبقه دوم 125متر یک خوابه همراه با 60 متر بهار خواب (تراس اختصاصی )
بسیار تمیز وشیک 
فول باسازی شده 
 عرض منزل 11متر 
دربه ساختمان 
بهترین قیمت جهت سرمایه گذاری ویا سکونت .
*****مشاورین املاک آوا مابین فلکه سنگی وچهاراه خلدبرین نبش کوچه 13 بعثت *****",https://divar.ir/v/۳طبقه-مستقل-کاملا-مجزا-۴۵۰متری-روبروی-پارک-خلدبرین/wZXh-69c,2025-02-15
معاوضه آپارتمان میانرود با آپارتمان در صدرا فاز 1,95,3٬000٬000٬000 تومان,31٬578٬000 تومان,2,1388,5,5,سند: تک‌برگ | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | بالکن | سرمایش کولر آبی | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,"یک واحد آپارتمان 2 خوابه شیک و خوش‌ ساخت در میانرود(مجتمع ایثار) را با آپارتمانی در شهر صدرا (البرز ، دانش ، مولانا) معاوضه میکنیم.

✦ مشخصات ملک:
✔ 2 خوابه، نورگیر عالی
✔ موقعیت عالی و دسترسی مناسب
✔ نقشه کاربردی و فضای دلباز",https://divar.ir/v/معاوضه-آپارتمان-میانرود-با-آپارتمان-در-صدرا-فاز-۱/wZvC3THg,2025-02-15
فروش ملک کلنگی,300,300,12٬800٬000٬000 تومان,4,1375,Not Found,Not Found,وضعیت واحد: بازسازی نشده,پارکینگ | انباری | بالکن,با سلام یک ملک کلنگی جهت ساخت واقع در کوچه 2 مهدیه.عرض کوچه 8 و عرض ملک 10.با تشکر,https://divar.ir/v/فروش-ملک-کلنگی/wZ69xcY7,2025-02-15
دو خوابه صفر/وام دار/تحویل/مالکیت با 3850,108,5٬300٬000٬000 تومان,49٬074٬000 تومان,2,1403,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری,"فرصت ویژه خرید آپارتمان 




✳️ واحد آپارتمان دو خوابه
✳️خوش نقشه سالن بزرگ
✳️کم واحد شخصی ساز




✳️شرایط ویژه پرداخت:
✳️دارای وام 750 تومان ک از مبلغ کل کسر میگردد
✳️تخلیه با قابلیت رهن تا 600 در صورت نیاز
✳️ته سند جهت انتقال مبلغ 100




 مشاور امور ملکی شما:آقای مولایی",https://divar.ir/v/دو-خوابه-صفر-وام-دار-تحویل-مالکیت-با-۳۸۵۰/wZfS3wFt,2025-02-15
فروش آپارتمان 90 متری 2 خوابه,90,4٬050٬000٬000 تومان,45٬000٬000 تومان,2,1403,1,4,تعداد واحد در طبقه: ۳ | جهت ساختمان: شمالی | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری ندارد | بالکن | جنس کف سرامیک,"️ آپارتمان نوساز کلید نخورده
✅️طبقه اول
✅️ 90 متر مفید خوش نقشه
✅️2خواب با کمد دیواری 
✅️ نورگیر شمالی 
✅️دسترسی آسان به تمام امکانات رفاهی (روبروی مرکز تجاری و تفریحی مشیر )
لطفا املاک تماس نگیرد
ساعت بازدید : عصر",https://divar.ir/v/فروش-آپارتمان-۹۰-متری-۲-خوابه/wZvOI2k8,2025-02-15
آپارتمان 165 متر 3 خوابه تک واحدی سه راه بهار,165,7٬425٬000٬000 تومان,45٬000٬000 تومان,3,1403,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری,"بهترین لوکیشن
پلاک دوم از خیابان
نور عالی شرقی شمالی
طبقه سوم
این طبقه تک واحدی میباشد
6 واحدی
خوش نقشه
راه پله بسیار عریض
حدود 5 متر انباری روی سند نیست و رایگان میباشد
بدون واسطه
بدون واسطه 
بدون واسطه 
در صورت همکاری با همکاران محترم کمسیون خریدار متعلق به ایشان می باشد",https://divar.ir/v/آپارتمان-165-متر-3-خوابه-تک-واحدی-سه-راه-بهار/wZI2Mhyb,2025-02-15
آپارتمان 3خواب 130متری پاسداران,135,8٬800٬000٬000 تومان,65٬185٬000 تومان,3,1400,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری,"مجموعه کم واحد 
بسیارخوش نقشه سالن بزرگ
صفرنوساز
بهترین لوکیشن پاسداران
لطفا بدون واسطه همکاران محترم
مواردمشابه هم موجود است",https://divar.ir/v/آپارتمان-۳خواب-۱۳۰متری-پاسداران/wZYOYaD7,2025-02-15
آپارتمان117متر دوخوابه.فدک،فضل اباد،شهرک ولیعصر,117 متر مربع,5٬150٬000٬000 تومان,44٬017٬000 تومان,2,1401,1,4,تعداد واحد در طبقه: ۲ | سند: تک‌برگ | جهت ساختمان: شمالی | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش اسپلیت | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,"با سلام



✳لوکیشن:فضل اباد
✳بسیار خوش نقشه
✳نورگیر عالی
✳اتاق ها کمد دار
✳تراس بزرگ
✳مشاعات عالی
✳دسترسی به کلیه امکانات رفاهی



_____________________________________________
سرمایه گذاریه مطمئن خرید و فروش همراه با مشاوره تخصصی
_____________________________________________


ادرس‌دفتر:فدک،مابین کوچه9و11    ***اقای املاک***


⚡مسئول:صالح اسدی⚡",https://divar.ir/v/آپارتمان۱۱۷متر-دوخوابه-فدک-فضل-اباد-شهرک-ولیعصر/wZRKAxUv,2025-02-15
فروش زمین 150 متری در شریف‌آبادپلاک2154,Not found,150 متر,120٬000٬000 تومان,Not found,Not found,Not Found,Not Found,not found,not found,با سلام زمین 150 متری از پلاک 2154 در محدوده گردخون به فروش میرسد اینده بسیار درخشان  فروش فوری,https://divar.ir/v/فروش-زمین-۱۵۰-متری-در-شریف-آبادپلاک۲۱۵۴/wZweVZ55,2025-02-15
زمین هفت برم زیر قیمت,Not found,1٬000 متر,800٬000٬000 تومان,Not found,Not found,Not Found,Not Found,not found,not found,"با سلام زمین 1000 متری هفت برم دیوار کشی شده اب دائم بر اصلی جاده نزدیکترین نقطه به برم زیر قیمت فوری
در حریم محیط زیست نیست اب دائم چشمه برق سند وکالتی
تمام کارهایه دادگاهی انجام شده بدون هیچ مشکل قانونی زیر قیمت کل منطقه",https://divar.ir/v/زمین-هفت-برم-زیر-قیمت/wZTyHk-k,2025-02-15
آپارتمان 116 متر 2 خواب بازسازی شده شهرک ولیعصر,116 متر مربع,4٬408٬000٬000 تومان,38٬000٬000 تومان,2,1396,1,4,تعداد واحد در طبقه: ۲ | سند: تک‌برگ | وضعیت واحد: بازسازی شده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش کولر آبی | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,"✅ موقعیت شهرک ولیعصر کد 2935 ✅
✅ فروش اپارتمان 116 متر
✅ 2 خواب
✅ بازسازی شده بسیار شیک
✅ کناف نور پردازی - کابینت هایگلس
✅ خوش نقشه
✅ خواب ها کمددار
✅ تخلیه اماده سکونت
✅ سند تک برگ ملکی


جهت بازدید و اطلاعات بیشتر تماس بگیرید
با هر سلیقه ای کافیه فقط تابناک جنوب رو سرچ کنید


دپارتمان املاک تابناک جنوب
ادرس ما : روبه روی کوچه 18 فدک",https://divar.ir/v/آپارتمان-۱۱۶-متر-۲-خواب-بازسازی-شده-شهرک-ولیعصر/wZfygs0L,2025-02-15
فروش ویلایی 220 متری.,160,220,9٬200٬000٬000 تومان,2,1387,Not Found,Not Found,وضعیت واحد: بازسازی نشده,پارکینگ | انباری | بالکن,"ما برترین نیستیم ، سپاسگزاریم از شما برترین ها
                  که مارا می خواهید
--------------------------------------------------------------------- 
  ⚜️ ⚜️ مشاورین املاک برج سازان ⚜️ ⚜️
با 24 سال سابقه و مکان ثابت در شهرک گلستان 

ویلایی 220 متری. 

تمیز و مرتب ، سالن بزرگ. 

سرامیک ، MDF ، اتاق ها 12 متری. 

جهت دریافت اطلاعات بیشتر لطفاً تماس بگیرید.

موارد مشابه تک طبقه 2طبقه 3طبقه شخصی ساز. 

کلنگی جهت ساخت و ساز و . .  موجود می باشد. 

1️⃣شهرک گلستان 2️⃣برج سازان 3️⃣پایان جستجو 

  ⚜️ ⚜️ مشاورین املاک برج سازان ⚜️ ⚜️

◀️فلکه دوم،بلوار غدیر شمالی، نبش کوچه 1 غدیر. 

◀️انجام کلیه امور خرید ، فروش ، رهن و اجاره،

◀️مشارکت و معاوضه در کمترین زمان ممکن.",https://divar.ir/v/فروش-ویلایی-۲۲۰-متری/wZSSk-A5,2025-02-15
آپارتمان 125 متری رحمت آباد قصردشت,125,8٬200٬000٬000 تومان,65٬600٬000 تومان,2,1390,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری,"125 متر واحد آپارتمان در رحمت آباد قصردشت 
--------------------------------------
✔2 خواب دلباز
✔سالن خوش چیدمان
✔بازسازی شده
✔بسیار شیک و خوش نقشه
-----------------------------------
**سند ملکی آماده انتقال
**قابل رهن تا 800 - 900 میلیون 
---------------------------
مشاور شما : خانم شیخ
املاک برلیان عفیف آباد",https://divar.ir/v/آپارتمان-125-متری-رحمت-آباد-قصردشت/wZwqEEo4,2025-02-15
آپارتمان 150 متری 3 خواب بلوار گلستان,150 متر مربع,8٬100٬000٬000 تومان,54٬000٬000 تومان,3,1403,2,6,تعداد واحد در طبقه: ۲ | سند: تک‌برگ | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش کولر آبی | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,"آپارتمان 3 خواب صفر بلوار گلستان
خوش نقشه 
متریال برند
نور عالی ویو ازاد
کمد ها بزرگ و کلوزت 
کف ها پرسلان نانو پالش 1 در 1
مشاعات تمام سنگ
آسانسور گیرلس تمام اتومات استیل با برق اضطراری
ارتفاع بلند طبقات مفید 3 متر و اسانسور مفید 2/5
نما مدرن
دارای لابی هتلی
مشاعات نورپردازی 
قابلیت وام 700 میلیون
رهن 1200
دیدن = پسندیدن
ادرس املاک معمار : بلوار گلستان بعد از کوچه 5 کنار کلید سازی",https://divar.ir/v/آپارتمان-۱۵۰-متری-۳-خواب-بلوار-گلستان/wZwKzbNB,2025-02-15
فروش آپارتمان 135 متری 2 خوابه پنجره قدی,135,9٬850٬000٬000 تومان,72٬962٬000 تومان,2,1403,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری,"✅به نام خدا 
✍️لوکیشن دنج تاچارا 
✔️دو خواب سالن بزرگ 
✅یکه خواب مستر 
✔️پلان بی نظیر 
✅پنجره قدی 
✔️متریال درجه یک 
برای اطلاعات بیشتر تماس بگیرید",https://divar.ir/v/فروش-آپارتمان-۱۳۵-متری-۲-خوابه-پنجره-قدی/wZpS7W1Z,2025-02-15
اپارتمان سه خواب 157 متری علیرضایی غربی,157,12٬650٬000٬000 تومان,80٬573٬000 تومان,3,1396,1,4,تعداد واحد در طبقه: ۴ | سند: تک‌برگ | جهت ساختمان: شمالی | وضعیت واحد: بازسازی شده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش اسپلیت | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,"لوکیشن بینظیر  
ساختمانی لوکس و منظم
کوچه مشجر
✅✅✅✅✅✅✅✅✅✅✅
کابینت های گلاس
سالن 50 متری 
یک خواب مستر 
شخصی ساز 
نگهبانی 24 ساعته
✅✅✅✅✅✅✅✅✅✅✅✅
امیری 
املاک اوتانا زرگری",https://divar.ir/v/اپارتمان-سه-خواب-۱۵۷-متری-علیرضایی-غربی/wZOqB3jx,2025-02-15
اپارتمان 2 خواب120متر  کوچه 9 بین پارامنت وستاد,120,5٬000٬000٬000 تومان,41٬666٬000 تومان,2,1386,3,4,تعداد واحد در طبقه: ۲ | سند: تک‌برگ | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی شده,آسانسور | پارکینگ | انباری ندارد | بالکن | جنس کف پارکت لمینت | سرویس بهداشتی ایرانی و فرنگی | سرمایش اسپلیت | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,120 متر مفید بدون پرتی خوابها با کمد دیواری بزرگ اسپیلت وکولر ابی سند ملکی با مشتری واقعی کنار میام قرق نور است پول کابینت  از مبلغ کم میشود به سلیقه مشتری,https://divar.ir/v/اپارتمان-۲-خواب۱۲۰متر-کوچه-۹-بین-پارامنت-وستاد/wZeCkFLi,2025-02-15
Not Found,Not Found,Not Found,Not Found,Not Found,1400,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found
یک عمارت اعیانی/احاطه شده با باغات گروه یک,160,13٬120٬000٬000 تومان,82٬000٬000 تومان,2,1403,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری,"درود و احترام

⚜️همانطور که در عنوان درج شده دور تا دور این عمارت اعیانی باغات گروه یک است و خود واحد چشم انداز باغی دارد⚜️

⚜️تیم ما دست به دست هم داده تا با یک نقدینگی مناسب تدارکات خرید واحد در یک عمارت اعیانی را به شما بدهد⚜️

⚜️سند ملکی در بهترین لوکیشن تاچرا⚜️

⚜️مشاعات و نما سنگ عباس آباد کنده کاری شده با دست⚜️

⚜️سرامیک کف واحد cm120درcm120 سقف واحد تماما وافل⚜️
 
مشاور شما در کلیه امور ملکی: محمدپور",https://divar.ir/v/یک-عمارت-اعیانی-احاطه-شده-با-باغات-گروه-یک/wZfqdvfy,2025-02-15
فروش آپارتمان 112 متری 2 خوابه در شاه قلی بیگی,112,6٬300٬000٬000 تومان,56٬250٬000 تومان,2,1403,4,4,تعداد واحد در طبقه: ۱ | جهت ساختمان: غربی | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | بالکن | سرویس بهداشتی ایرانی و فرنگی | گرمایش شوفاژ,"باسلام خسته نباشید 
واحد2خوابه 112 
غربی جنوبی (دونبش)
نورگیر عالی 
پارکینگ انباری آسانسور
نما سنگ کرم راه پله سنگ سفید 
مجموعه چهار واحد (تک واحدی)
کابینت شوفاژ 
روشویی شیرآلات 
فول کناف",https://divar.ir/v/فروش-آپارتمان-۱۱۲-متری-۲-خوابه-در-شاه-قلی-بیگی/wZwCUuF5,2025-02-15
آپارتمان 115 متری باغ حوض,115,6٬800٬000٬000 تومان,59٬130٬000 تومان,2,1402,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری,"115 متر کوچه 1 باغ حوض 
دو خوابه جنوبی 
اتاق ها جنوبی


مستر دار
خوش قیمت 
12 واحدی 
طبقه 3 

تماس بگیرید
بگیرید
***********
املاک هستم",https://divar.ir/v/آپارتمان-۱۱۵-متری-باغ-حوض/wZwKVJfi,2025-02-15
باغ کودیان,Not found متر مربع,945 متر,330٬000٬000 تومان,Not found,Not found,Not Found,Not Found,not found,not found,"باغ با درختان 15 ساله کودیان، 
دارای چشم انداز عالی 
استعلام مستثنیات
پایه های برق خریداری شده و سر زمین 
قیمت بسیار مناسب بدلیل خرید مستقیم از مالک",https://divar.ir/v/باغ-کودیان/wZtmZzrf,2025-02-15
دوطبقه ویلایی وزیر زمین کاملا مجزا,320 متر مربع,180,11٬500٬000٬000 تومان,+4,1390,Not Found,Not Found,سند: تک‌برگ | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی شده,پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی | سرمایش کولر آبی | گرمایش بخاری | تأمین‌کننده آب گرم آبگرم‌کن,"دوطبقه ویلایی وزیر زمین یک خوابه
دوازده کنتور آب و برق و گاز و تلفن
بلوار یاوران شهرک امام حسین
در حال حاضر یک میلیارد و دویست رهن می‌باشد که از مبلغ کل کسی می گردد
دسترسی به تمام امکانات
تخلیه فوری
املاک متین  بلوار طلاییه نبش شهید اسماعیلی
در خدمتم",https://divar.ir/v/دوطبقه-ویلایی-وزیر-زمین-کاملا-مجزا/wZ79dYwK,2025-02-15
125 متری دو خوب/ شخصی ساز/ کوچه زوج,125,10٬400٬000٬000 تومان,83٬200٬000 تومان,2,1403,2,4,تعداد واحد در طبقه: ۲ | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری,"مشخصات واحد:

شخصی ساز کم واحد / 8 واحدی
پنجره قدی از کف
اتاقهای 12 متری با کمد دیواری 
کناف و نور پردازی و رنگ امیزی
دسترسی راحت به خیابان کسایی و معالی اباد
نما مدرن

✅واحد تخلیه کلید نزد املاک

مشاور شما محمدی
املاک افتاب",https://divar.ir/v/۱۲۵-متری-دو-خوب-شخصی-ساز-کوچه-زوج/wZXyYi2S,2025-02-15
